언어명,관광지명,구분
일본어,景福宮（경복궁）,역사유적지
일본어,北村韓屋村（북촌한옥마을）,역사유적지
일본어,広蔵市場（광장시장）,시장
일본어,ピョルマダン図書館（별마당도서관）,교육시설
일본어,景福宮（경복궁）,역사관광지
일본어,北村韓屋村（북촌한옥마을）,역사관광지
일본어,光化門（광화문）,역사유적지
일본어,東大門総合市場・ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,시장
일본어,ロッテワールド（롯데월드）,테마공원
일본어,広蔵市場（광장시장）,쇼핑
일본어,ピョルマダン図書館（별마당도서관）,문화시설
일본어,南大門市場（남대문시장）,시장
일본어,光化門広場（광화문광장）,도시공원
일본어,マリオアウトレット（마리오 아울렛）,쇼핑몰
일본어,明洞（명동）,기타체험
일본어,ロッテワールド（롯데월드）,휴양관광지
일본어,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,산업관광
일본어,仁寺洞（인사동）,기타체험
일본어,昌徳宮と後苑 [ユネスコ世界遺産（文化遺産）]（창덕궁과 후원 [유네스코 세계문화유산]）,역사유적지
일본어,南大門市場（남대문시장）,쇼핑
일본어,スターフィールドcoex MALL（스타필드 코엑스몰）,쇼핑몰
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,도시.지역문화관광
일본어,東大門総合市場・ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,쇼핑
일본어,イーランドクルーズ（漢江遊覧船）（이랜드크루즈（한강유람선））,기타체험
일본어,TIMES SQUARE（타임스퀘어）,전문매장/상가
일본어,世宗大王銅像（세종대왕 동상）,랜드마크관광
일본어,昌徳宮と後苑 [ユネスコ世界遺産（文化遺産）]（창덕궁과 후원 [유네스코 세계문화유산]）,역사관광지
일본어,南山ソウルタワー（남산서울타워）,랜드마크관광
일본어,Leeum美術館（리움 미술관）,문화시설
일본어,駱山公園（낙산공원）,휴양관광지
일본어,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,산업관광지
일본어,Leeum美術館（리움 미술관）,전시시설
일본어,セブンラックカジノ（江南COEX店）（세븐럭카지노（강남코엑스점））,기타문화관광지
일본어,国立現代美術館 ソウル（국립현대미술관 서울）,전시시설
일본어,狎鴎亭ロデオ通り（압구정 로데오 거리）,기타체험
일본어,ロッテアウトレット ソウル駅店[韓国観光品質認証](롯데쇼핑 롯데아울렛 서울역[한국관광품질인증/Korea Quality]),쇼핑몰
일본어,南山ソウルタワー（남산서울타워）,건축/조형물
일본어,仁寺洞（인사동）,체험관광지
일본어,明洞（명동）,체험관광지
일본어,盤浦大橋ムーンライト・レインボー噴水（반포대교 달빛무지개분수）,건축/조형물
일본어,スターフィールドcoex MALL（스타필드 코엑스몰）,쇼핑
일본어,宗廟 [ユネスコ世界遺産（文化遺産）]（종묘 [유네스코 세계문화유산]）,역사유적지
일본어,漢江（한강）,자연경관(하천‧해양)
일본어,サムギョプサル專門店 大統領（삼겹살전문점대통령）,음식점
일본어,忠武公 李舜臣銅像（충무공 이순신 동상）,랜드마크관광
일본어,新世界百貨店（本店）（신세계백화점（본점））,쇼핑
일본어,新世界百貨店（本店）（신세계백화점（본점））,백화점
일본어,ロッテアウトレット ソウル駅店[韓国観光品質認証](롯데쇼핑 롯데아울렛 서울역[한국관광품질인증/Korea Quality]),쇼핑
일본어,汝矣島漢江公園（여의도한강공원）,도시공원
일본어,マリオアウトレット（마리오 아울렛）,쇼핑
일본어,大韓民国歴史博物館（대한민국역사박물관）,전시시설
일본어,光化門（광화문）,역사관광지
일본어,ロッテ百貨店（本店）롯데백화점（본점）,백화점
일본어,新沙洞カロスキル（신사동 가로수길）,기타체험
일본어,徳寿宮（덕수궁）,역사관광지
일본어,徳寿宮（덕수궁）,역사유적지
일본어,狎鴎亭ロデオ通り（압구정 로데오 거리）,체험관광지
일본어,HiKR GROUND（하이커 그라운드）,전시시설
일본어,ロッテモール金浦空港（롯데몰 김포공항）,쇼핑몰
일본어,益善洞（익선동）,체험관광지
일본어,GOTO MALL（江南高速ターミナル地下ショッピングモール）（고투몰（강남터미널 지하도상가））,전문매장/상가
일본어,現代アイパークモール（현대 아이파크몰）,쇼핑몰
일본어,HiKR GROUND（하이커 그라운드）,문화시설
일본어,ソウル中部市場（서울 중부시장）,시장
일본어,陳玉華ハルメ元祖タッカンマリ（진옥화할매원조닭한마리）,한식
일본어,GOTO MALL（江南高速ターミナル地下ショッピングモール）（고투몰（강남터미널 지하도상가））,쇼핑
일본어,現代アイパークモール（현대 아이파크몰）,쇼핑
일본어,COEXアクアリウム（코엑스 아쿠아리움）,테마공원
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,체험관광지
일본어,土俗村参鶏湯（토속촌 삼계탕）,음식점
