언어명,관광지명,구분
중간체,北村韩屋村(북촌한옥마을),역사유적지
중간체,景福宫경복궁,역사유적지
중간체,景福宫경복궁,역사관광지
중간체,汝矣岛汉江公园여의도한강공원,도시공원
중간체,乐天世界(롯데월드),테마공원
중간체,北村韩屋村(북촌한옥마을),역사관광지
중간체,陈玉华奶奶元祖一只鸡(진옥화할매원조닭한마리),한식
중간체,广藏市场광장시장,시장
중간체,东大门综合市场·东大门购物城(동대문 종합시장·동대문 쇼핑타운),시장
중간체,明洞(명동),기타체험
중간체,乐天百货店(总店) 롯데백화점(본점),백화점
중간체,南山首尔塔(남산서울타워),랜드마크관광
중간체,昌庆宫(창경궁),역사유적지
중간체,东大门设计广场(DDP)<br />동대문디자인플라자(DDP),산업관광
중간체,新世界百货商店总店(신세계 백화점-본점),백화점
중간체,南山谷韩屋村(남산골한옥마을),역사유적지
중간체,龙山电子城(용산전자랜드),전문매장/상가
중간체,南山首尔塔(남산서울타워),건축/조형물
중간체,昌德宫和后苑[联合国教科文组织世界文化遗产]창덕궁과 후원 [유네스코 세계문화유산],역사유적지
중간체,汉江市民公园纛岛地区(纛岛汉江公园)한강시민공원 뚝섬지구(뚝섬한강공원),도시공원
중간체,国会议事堂(국회의사당),랜드마크관광
중간체,首尔帕那斯洲际大酒店(그랜드 인터컨티넨탈 서울 파르나스),호텔
중간체,韩国历史博物馆(대한민국역사박물관),전시시설
중간체,仁寺洞(인사동),기타체험
중간체,鹭梁津海鲜批发市场(노량진수산물도매시장),시장
중간체,现代I’PARK Mall(현대 아이파크몰),쇼핑몰
중간체,德寿宫(덕수궁),역사유적지
중간체,清溪川(청계천),도시공원
중간체,光化门广场(광화문광장),도시공원
중간체,乐天世界塔与乐天世界购物中心롯데월드타워&롯데월드몰,랜드마크관광
중간체,时代广场(타임스퀘어),전문매장/상가
중간체,国立现代美术馆(首尔馆)국립현대미술관(서울관),전시시설
중간체,南大门市场(남대문시장),시장
중간체,战争纪念馆(전쟁기념관),전시시설
중간체,陈玉华奶奶元祖一只鸡(진옥화할매원조닭한마리),음식점
중간체,南山公园(首尔) 남산공원(서울),도시공원
중간체,奖忠体育馆(장충체육관),레저스포츠시설
중간체,马里奥折扣商场(Mario Outlet)(마리오 아울렛),쇼핑몰
중간체,Burdeng童装(부르뎅아동복),전문매장/상가
중간체,望远市场(망원시장),쇼핑
중간체,东大门综合市场饰品商街(동대문종합시장 악세사리상가),전문매장/상가
중간체,新沙洞林荫路(신사동 가로수길),기타체험
중간체,狎鸥亭罗德奥街압구정 로데오거리,기타체험
중간체,光化门광화문,역사유적지
중간체,首尔儿童大公园(서울어린이대공원),테마공원
중간체,可乐市场(可乐农水畜产品批发市场)가락시장(가락농수산물 도매시장),시장
중간체,曹溪寺(首尔)조계사(서울),종교성지
중간체,东大门历史文化公园(동대문역사문화공원),도시공원
중간체,首尔传统跳蚤市场(서울풍물시장),시장
중간체,国技院(世界跆拳道本部)국기원(세계태권도본부),교육시설
중간체,南山缆车(남산 케이블카),기타체험
중간체,南大门人参市场(남대문인삼시장),시장
중간체,东大门综合市场韩服商街(동대문종합시장 한복상가),시장
중간체,世宗大王铜像(세종대왕 동상),랜드마크관광
중간체,Hello apm (헬로에이피엠),쇼핑몰
중간체,云岘宫운현궁,역사유적지
중간체,国立中央博物馆(국립중앙박물관),문화시설
중간체,忠武公李舜臣铜像(충무공 이순신 동상),랜드마크관광
중간체,韩国综合贸易中心(COEX)한국종합무역센터(코엑스),전시시설
중간체,宗庙[联合国教科文组织世界文化遗产](종묘 [유네스코 세계문화유산]),역사유적지
중간체,崇礼门(南大门)进口商街숭례문(남대문) 수입상가,전문매장/상가
중간체,Harmoney超市 明洞站分店[韩国旅游品质认证/Korea Quality](하모니마트 명동역점[한국관광 품질인증/Korea Quality]),전문매장/상가
중간체,COEX水族馆(코엑스 아쿠아리움),테마공원
중간체,艺术殿堂예술의전당,공연시설
중간체,首尔江南诺富特酒店(노보텔 앰배서더 강남_ 서울),호텔
중간체,世宗文化会馆(세종문화회관),공연시설
중간체,Isae(이새),전문매장/상가
중간체,世运电子商街(世运电子广场)세운전자상가(세운전자플라자),전문매장/상가
중간체,汝矣岛汉江公园여의도한강공원,휴양관광지
중간체,良才市民之林(양재 시민의숲),자연경관(산)
중간체,马场畜产品市场(마장 축산물시장),시장
중간체,崇礼门(숭례문),역사유적지
중간체,首尔中部市场(서울 중부시장),시장
중간체,首尔林(서울숲),도시공원
중간체,胜进玩具(승진완구),전문매장/상가
중간체,首尔和平市场 (서울 평화시장),시장
중간체,首尔泰陵(文定王后)与康陵(仁顺王后)[联合国教科文组织世界文化遗产]서울 태릉과 강릉 [유네스코 세계문화유산],역사유적지
중간체,文化站首尔284 문화역서울 284,기타체험
중간체,大学路(대학로),도시.지역문화관광
중간체,开城饺子宮 ( 개성만두궁 ),한식
중간체,Central City(센트럴시티),기타쇼핑시설
중간체,石坡廊(석파랑),한식
중간체,首尔宣陵(成宗和贞显王后)与靖陵(中宗)[联合国教科文组织世界文化遗产]서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],역사유적지
중간체,乐天世界(롯데월드),휴양관광지
중간체,首尔明洞天主圣堂(서울 명동성당),종교성지
중간체,首尔大学奎章阁(서울대학교 규장각),문화시설
중간체,长安饰品商街(장안엑세서리상가),전문매장/상가
중간체,首尔林(서울숲),휴양관광지
중간체,Migliore(东大门店)밀리오레 (동대문점),전문매장/상가
중간체,首尔康莱德酒店콘래드 서울,호텔
중간체,汉江游览船(한강유람선),기타체험
중간체,首尔历史博物馆(서울역사박물관),전시시설
중간체,明洞饺子(명동교자),한식
중간체,瑞来村(서래마을),도시.지역문화관광
중간체,土俗村参鸡汤(토속촌 삼계탕),음식점
중간체,南大门综合商街(남대문 종합상가),전문매장/상가
중간체,三元花园 ( 삼원가든 ),한식
중간체,Best Western Premier首尔花园酒店(베스트웨스턴 프리미어 서울가든호텔),호텔
중간체,国立国乐院(국립국악원),교육시설
중간체,首尔世界杯体育场(서울월드컵경기장),레저스포츠시설
