언어명,관광지명,구분
중번체,廣藏市場(광장시장),쇼핑
중번체,廣藏市場(광장시장),시장
중번체,景福宮(경복궁),역사관광지
중번체,景福宮(경복궁),역사유적지
중번체,北村韓屋村(북촌한옥마을),역사유적지
중번체,陳玉華奶奶元祖一隻雞(진옥화할매원조닭한마리),한식
중번체,樂天百貨公司(總店)(롯데백화점(본점)),백화점
중번체,樂天世界(롯데월드),테마공원
중번체,望遠市場(망원시장),쇼핑
중번체,陳玉華奶奶元祖一隻雞(진옥화할매원조닭한마리),음식점
중번체,北村韓屋村(북촌한옥마을),역사관광지
중번체,樂天百貨公司(總店)(롯데백화점(본점)),쇼핑
중번체,Starfield圖書館(별마당도서관),교육시설
중번체,樂天世界(롯데월드),휴양관광지
중번체,南山首爾塔(남산서울타워),건축/조형물
중번체,奉恩寺(首爾)(봉은사(서울)),역사관광지
중번체,南山首爾塔(남산서울타워),랜드마크관광
중번체,東大門設計廣場(DDP)(동대문디자인플라자(DDP)),산업관광
중번체,汝矣島漢江公園(여의도한강공원),도시공원
중번체,昌德宮與後苑 [UNESCO世界文化遺產](창덕궁과 후원 [유네스코 세계문화유산]),역사관광지
중번체,現代I'PARK mall(현대 아이파크몰),쇼핑몰
중번체,明洞(명동),기타체험
중번체,昌德宮與後苑 [UNESCO世界文化遺產](창덕궁과 후원 [유네스코 세계문화유산]),역사유적지
중번체,國立現代美術館首爾館(국립현대미술관 서울),전시시설
중번체,纛島漢江公園雪橇場(한강공원 뚝섬 눈썰매장),육상 레포츠
중번체,土俗村參雞湯(토속촌삼계탕),음식점
중번체,新世界百貨公司(總店)(신세계백화점 (본점)),백화점
중번체,盤浦大橋月光彩虹噴泉(반포대교 달빛무지개분수),건축/조형물
중번체,南山纜車(남산 케이블카),기타체험
중번체,樂天免稅店 (總店)(롯데면세점 (본점)),쇼핑
중번체,Starfield圖書館(별마당도서관),문화시설
중번체,首爾林(서울숲),휴양관광지
중번체,東大門設計廣場(DDP)(동대문디자인플라자(DDP)),산업관광지
중번체,ELAND CRUISE(漢江遊覽船)(이랜드크루즈 (한강유람선)),기타체험
