english_name,korean_name,raw_categories,match_type,match_keyword,contentid,contenttypeid,title,addr1,lclsSystm1,lclsSystm2,lclsSystm3
Apgujeong Rodeo Street,압구정 로데오거리,기타체험,auto,압구정 로데오거리,126823,12,압구정 로데오거리,서울특별시 강남구 압구정동,EX,EX07,EX070200
Banpo Bridge Rainbow Fountain,반포대교 달빛무지개분수,건축/조형물;랜드마크관광,auto,반포대교 달빛무지개분수,729167,12,반포대교 달빛무지개분수,서울특별시 서초구 반포동,VE,VE01,VE010400
Bukchon Hanok Village,북촌한옥마을,역사관광지;역사유적지,auto,북촌한옥마을,126537,12,북촌한옥마을,서울특별시 종로구 계동길 37 (계동),HS,HS01,HS010600
Bukhansan National Park (Seoul District),북한산국립공원(서울),자연관광지,auto,북한산국립공원(서울),127220,12,북한산국립공원(서울),서울특별시 성북구 보국문로 262 (정릉동),NA,NA04,NA040100
Burdeng Children's Clothing Shopping Center,부르뎅 아동복,쇼핑;전문매장/상가,auto,부르뎅 아동복,1013366,38,부르뎅 아동복 (Burdeng),서울특별시 중구 남대문시장8길 14,SH,SH05,SH050200
Changdeokgung Palace Complex [UNESCO World Heritage],창덕궁과 후원 [유네스코 세계문화유산],역사관광지;역사유적지,auto,창덕궁과 후원,127642,12,창덕궁과 후원 [유네스코 세계유산],서울특별시 종로구 율곡로 99 (와룡동),HS,HS01,HS010100
Changgyeonggung Palace,창경궁,역사관광지;역사유적지,auto,창경궁,126511,12,창경궁,서울특별시 종로구 창경궁로 185 (와룡동),HS,HS01,HS010100
Cheonggyecheon Stream,청계천,도시공원;휴양관광지,auto,청계천,129507,12,청계천,서울특별시 종로구 창신동,VE,VE03,VE030100
Children’s Grand Park,서울 어린이대공원,테마공원;휴양관광지,auto,서울어린이대공원,126490,12,서울어린이대공원,서울특별시 광진구 능동로 216 (능동),VE,VE02,VE020100
Deoksugung Palace,덕수궁,역사관광지;역사유적지,auto,덕수궁,126509,12,덕수궁,서울특별시 중구 세종대로 99 (정동),HS,HS01,HS010100
Dongdaemun Design Plaza,동대문디자인플라자 (DDP),산업관광;산업관광지,auto,동대문디자인플라자,2470006,12,동대문디자인플라자(DDP),서울특별시 중구 을지로 281 (을지로7가),EX,EX06,EX061000
Dongdaemun History & Culture Park,동대문역사문화공원,도시공원,auto,동대문역사문화공원,1906334,12,동대문역사문화공원,서울특별시 중구 을지로 281 (을지로7가),VE,VE03,VE030500
Dongdaemun Shopping Complex·Dongdaemun Shopping Town,동대문 종합시장·동대문 쇼핑타운,쇼핑;시장,auto,동대문종합시장,132200,38,동대문종합시장,서울특별시 종로구 종로 266 (종로6가),SH,SH06,SH060200
