장소명,카테고리,연도,월,방문자수,전년동월대비증감률
홍대 관광특구,관광특구,2026,07,4897939.43,0.034
홍대 관광특구,관광특구,2026,06,4737312.75,-0.121
홍대 관광특구,관광특구,2026,05,5392184.56,-0.025
홍대 관광특구,관광특구,2026,04,5530683.77,0.13
홍대 관광특구,관광특구,2026,03,4892309.58,0.1
홍대 관광특구,관광특구,2026,02,4446129.88,-0.017
홍대 관광특구,관광특구,2026,01,4522574.66,-0.109
홍대 관광특구,관광특구,2025,12,5076509.39,0.053
홍대 관광특구,관광특구,2025,11,4818764.92,-0.018
홍대 관광특구,관광특구,2025,10,4907897.6,0.084
홍대 관광특구,관광특구,2025,09,4526291.71,-0.09
홍대 관광특구,관광특구,2025,08,4975374.34,0.031
명동 관광특구,관광특구,2026,07,4743386.97,-0.023
명동 관광특구,관광특구,2026,06,4854412.31,-0.069
명동 관광특구,관광특구,2026,05,5215714.1,-0.072
명동 관광특구,관광특구,2026,04,5622538.45,0.179
명동 관광특구,관광특구,2026,03,4769313.75,0.174
명동 관광특구,관광특구,2026,02,4064116.74,-0.051
명동 관광특구,관광특구,2026,01,4283607.02,-0.186
명동 관광특구,관광특구,2025,12,5262944.93,0.075
명동 관광특구,관광특구,2025,11,4896605.39,0.056
명동 관광특구,관광특구,2025,10,4637795.48,0.018
명동 관광특구,관광특구,2025,09,4556145.68,-0.015
명동 관광특구,관광특구,2025,08,4623654.05,0.024
성수카페거리,발달상권,2026,07,1256062.87,-0.091
성수카페거리,발달상권,2026,06,1382411.39,-0.129
성수카페거리,발달상권,2026,05,1587492.99,0.039
성수카페거리,발달상권,2026,04,1527887.23,0.149
성수카페거리,발달상권,2026,03,1329197.54,0.129
성수카페거리,발달상권,2026,02,1176969.79,0.01
성수카페거리,발달상권,2026,01,1165036.51,-0.213
성수카페거리,발달상권,2025,12,1480095.06,0.038
성수카페거리,발달상권,2025,11,1425409.75,0.033
성수카페거리,발달상권,2025,10,1379958.63,0.056
성수카페거리,발달상권,2025,09,1306437.3,0.029
성수카페거리,발달상권,2025,08,1270091.08,0.051
경복궁,고궁·문화유산,2026,07,29877.04,-0.013
경복궁,고궁·문화유산,2026,06,30284.49,-0.121
경복궁,고궁·문화유산,2026,05,34468.05,-0.173
경복궁,고궁·문화유산,2026,04,41703.02,0.233
경복궁,고궁·문화유산,2026,03,33812.5,0.251
경복궁,고궁·문화유산,2026,02,27018.22,-0.055
경복궁,고궁·문화유산,2026,01,28585.64,-0.116
경복궁,고궁·문화유산,2025,12,32327.89,-0.165
경복궁,고궁·문화유산,2025,11,38719.98,0.009
경복궁,고궁·문화유산,2025,10,38385.86,0.118
경복궁,고궁·문화유산,2025,09,34330.25,0.033
경복궁,고궁·문화유산,2025,08,33240.85,-0.156
잠실 관광특구,관광특구,2026,07,5496582.02,0.027
잠실 관광특구,관광특구,2026,06,5354624.58,-0.082
잠실 관광특구,관광특구,2026,05,5835968.92,-0.102
잠실 관광특구,관광특구,2026,04,6497592.72,0.26
잠실 관광특구,관광특구,2026,03,5158361.79,0.059
잠실 관광특구,관광특구,2026,02,4869278.52,-0.034
잠실 관광특구,관광특구,2026,01,5041550.37,-0.164
잠실 관광특구,관광특구,2025,12,6027125.11,0.131
잠실 관광특구,관광특구,2025,11,5330075.39,-0.007
잠실 관광특구,관광특구,2025,10,5369578.59,0.175
잠실 관광특구,관광특구,2025,09,4568989.08,-0.103
잠실 관광특구,관광특구,2025,08,5095845.56,0.019
