장소명,카테고리,기준연도,기준월,국적명,체류시작시간대,체류인구수
홍대 관광특구,관광특구,2026,07,기타,01,5945.92
홍대 관광특구,관광특구,2026,07,기타,02,5126.76
홍대 관광특구,관광특구,2026,07,기타,03,4124.96
홍대 관광특구,관광특구,2026,07,기타,04,3141.89
홍대 관광특구,관광특구,2026,07,기타,05,2618.08
홍대 관광특구,관광특구,2026,07,기타,06,2271.44
홍대 관광특구,관광특구,2026,07,기타,07,2669.18
홍대 관광특구,관광특구,2026,07,기타,08,4498.35
홍대 관광특구,관광특구,2026,07,기타,09,7537.29
홍대 관광특구,관광특구,2026,07,기타,10,8427.35
홍대 관광특구,관광특구,2026,07,기타,11,9722.02
홍대 관광특구,관광특구,2026,07,기타,12,12223.36
홍대 관광특구,관광특구,2026,07,기타,13,16318.11
홍대 관광특구,관광특구,2026,07,기타,14,16306.45
홍대 관광특구,관광특구,2026,07,기타,15,17001.19
홍대 관광특구,관광특구,2026,07,기타,16,17719.81
홍대 관광특구,관광특구,2026,07,기타,17,19902.47
홍대 관광특구,관광특구,2026,07,기타,18,22575.06
홍대 관광특구,관광특구,2026,07,기타,19,24474.14
홍대 관광특구,관광특구,2026,07,기타,20,20780.66
홍대 관광특구,관광특구,2026,07,기타,21,17705.06
홍대 관광특구,관광특구,2026,07,기타,22,14474.14
홍대 관광특구,관광특구,2026,07,기타,23,9305.94
홍대 관광특구,관광특구,2026,07,네팔,01,130.03
홍대 관광특구,관광특구,2026,07,네팔,02,82.11
홍대 관광특구,관광특구,2026,07,네팔,03,110.26
홍대 관광특구,관광특구,2026,07,네팔,04,59.04
홍대 관광특구,관광특구,2026,07,네팔,05,28.94
홍대 관광특구,관광특구,2026,07,네팔,06,48.72
홍대 관광특구,관광특구,2026,07,네팔,07,59.61
홍대 관광특구,관광특구,2026,07,네팔,08,72.84
홍대 관광특구,관광특구,2026,07,네팔,09,233.46
홍대 관광특구,관광특구,2026,07,네팔,10,690.47
홍대 관광특구,관광특구,2026,07,네팔,11,222.46
홍대 관광특구,관광특구,2026,07,네팔,12,152.99
홍대 관광특구,관광특구,2026,07,네팔,13,199.8
홍대 관광특구,관광특구,2026,07,네팔,14,232.98
홍대 관광특구,관광특구,2026,07,네팔,15,200.23
홍대 관광특구,관광특구,2026,07,네팔,16,212.91
홍대 관광특구,관광특구,2026,07,네팔,17,204.54
홍대 관광특구,관광특구,2026,07,네팔,18,240.19
홍대 관광특구,관광특구,2026,07,네팔,19,210.32
홍대 관광특구,관광특구,2026,07,네팔,20,264.02
홍대 관광특구,관광특구,2026,07,네팔,21,237.21
홍대 관광특구,관광특구,2026,07,네팔,22,187.13
홍대 관광특구,관광특구,2026,07,네팔,23,166.7
홍대 관광특구,관광특구,2026,07,몽골,01,1233.21
홍대 관광특구,관광특구,2026,07,몽골,02,841.46
홍대 관광특구,관광특구,2026,07,몽골,03,684.11
홍대 관광특구,관광특구,2026,07,몽골,04,415.12
홍대 관광특구,관광특구,2026,07,몽골,05,501.16
홍대 관광특구,관광특구,2026,07,몽골,06,421.89
홍대 관광특구,관광특구,2026,07,몽골,07,338.81
홍대 관광특구,관광특구,2026,07,몽골,08,265.14
홍대 관광특구,관광특구,2026,07,몽골,09,223.17
홍대 관광특구,관광특구,2026,07,몽골,10,289.25
홍대 관광특구,관광특구,2026,07,몽골,11,278.85
홍대 관광특구,관광특구,2026,07,몽골,12,390.78
홍대 관광특구,관광특구,2026,07,몽골,13,334.28
홍대 관광특구,관광특구,2026,07,몽골,14,366.23
홍대 관광특구,관광특구,2026,07,몽골,15,488.06
홍대 관광특구,관광특구,2026,07,몽골,16,562.36
홍대 관광특구,관광특구,2026,07,몽골,17,621.71
홍대 관광특구,관광특구,2026,07,몽골,18,812.14
홍대 관광특구,관광특구,2026,07,몽골,19,773.94
홍대 관광특구,관광특구,2026,07,몽골,20,738.75
홍대 관광특구,관광특구,2026,07,몽골,21,819.46
홍대 관광특구,관광특구,2026,07,몽골,22,833.65
홍대 관광특구,관광특구,2026,07,몽골,23,1173.1
홍대 관광특구,관광특구,2026,07,미국,01,810.83
홍대 관광특구,관광특구,2026,07,미국,02,762.41
홍대 관광특구,관광특구,2026,07,미국,03,479.3
홍대 관광특구,관광특구,2026,07,미국,04,445.47
홍대 관광특구,관광특구,2026,07,미국,05,344.08
홍대 관광특구,관광특구,2026,07,미국,06,389.65
홍대 관광특구,관광특구,2026,07,미국,07,522.23
홍대 관광특구,관광특구,2026,07,미국,08,798.43
홍대 관광특구,관광특구,2026,07,미국,09,1186.2
홍대 관광특구,관광특구,2026,07,미국,10,1491.43
홍대 관광특구,관광특구,2026,07,미국,11,1932.83
홍대 관광특구,관광특구,2026,07,미국,12,2291.57
홍대 관광특구,관광특구,2026,07,미국,13,2735.15
홍대 관광특구,관광특구,2026,07,미국,14,2843.93
홍대 관광특구,관광특구,2026,07,미국,15,2893.01
홍대 관광특구,관광특구,2026,07,미국,16,3156.75
홍대 관광특구,관광특구,2026,07,미국,17,3333.79
홍대 관광특구,관광특구,2026,07,미국,18,3557.74
홍대 관광특구,관광특구,2026,07,미국,19,3637.02
홍대 관광특구,관광특구,2026,07,미국,20,3158.49
홍대 관광특구,관광특구,2026,07,미국,21,2821.23
홍대 관광특구,관광특구,2026,07,미국,22,2352.29
홍대 관광특구,관광특구,2026,07,미국,23,1376.11
홍대 관광특구,관광특구,2026,07,인도,01,171.26
홍대 관광특구,관광특구,2026,07,인도,02,109.49
홍대 관광특구,관광특구,2026,07,인도,03,105.59
홍대 관광특구,관광특구,2026,07,인도,04,85.21
홍대 관광특구,관광특구,2026,07,인도,05,63.53
홍대 관광특구,관광특구,2026,07,인도,06,63.56
홍대 관광특구,관광특구,2026,07,인도,07,57.93
홍대 관광특구,관광특구,2026,07,인도,08,103.42
홍대 관광특구,관광특구,2026,07,인도,09,81.42
홍대 관광특구,관광특구,2026,07,인도,10,236.48
홍대 관광특구,관광특구,2026,07,인도,11,316.5
홍대 관광특구,관광특구,2026,07,인도,12,201.04
홍대 관광특구,관광특구,2026,07,인도,13,413.45
홍대 관광특구,관광특구,2026,07,인도,14,372.53
홍대 관광특구,관광특구,2026,07,인도,15,397.57
홍대 관광특구,관광특구,2026,07,인도,16,401.43
홍대 관광특구,관광특구,2026,07,인도,17,450.43
홍대 관광특구,관광특구,2026,07,인도,18,660.84
홍대 관광특구,관광특구,2026,07,인도,19,801.76
홍대 관광특구,관광특구,2026,07,인도,20,735.12
홍대 관광특구,관광특구,2026,07,인도,21,665.43
홍대 관광특구,관광특구,2026,07,인도,22,472.3
홍대 관광특구,관광특구,2026,07,인도,23,283.53
홍대 관광특구,관광특구,2026,07,일본,01,572.78
홍대 관광특구,관광특구,2026,07,일본,02,430.49
홍대 관광특구,관광특구,2026,07,일본,03,433.87
홍대 관광특구,관광특구,2026,07,일본,04,303.23
홍대 관광특구,관광특구,2026,07,일본,05,237.69
홍대 관광특구,관광특구,2026,07,일본,06,364.2
홍대 관광특구,관광특구,2026,07,일본,07,469.52
홍대 관광특구,관광특구,2026,07,일본,08,1038.93
홍대 관광특구,관광특구,2026,07,일본,09,2530.39
홍대 관광특구,관광특구,2026,07,일본,10,2386.49
홍대 관광특구,관광특구,2026,07,일본,11,2996.54
홍대 관광특구,관광특구,2026,07,일본,12,3231.68
홍대 관광특구,관광특구,2026,07,일본,13,3832.1
홍대 관광특구,관광특구,2026,07,일본,14,3650.02
홍대 관광특구,관광특구,2026,07,일본,15,3917.58
홍대 관광특구,관광특구,2026,07,일본,16,4142.18
홍대 관광특구,관광특구,2026,07,일본,17,4374.76
홍대 관광특구,관광특구,2026,07,일본,18,4361.6
홍대 관광특구,관광특구,2026,07,일본,19,4245.0
홍대 관광특구,관광특구,2026,07,일본,20,3724.43
홍대 관광특구,관광특구,2026,07,일본,21,2756.66
홍대 관광특구,관광특구,2026,07,일본,22,2140.2
홍대 관광특구,관광특구,2026,07,일본,23,1135.47
홍대 관광특구,관광특구,2026,07,중국,01,1453.84
홍대 관광특구,관광특구,2026,07,중국,02,1394.16
홍대 관광특구,관광특구,2026,07,중국,03,1054.64
홍대 관광특구,관광특구,2026,07,중국,04,829.79
홍대 관광특구,관광특구,2026,07,중국,05,951.69
홍대 관광특구,관광특구,2026,07,중국,06,1262.08
홍대 관광특구,관광특구,2026,07,중국,07,1574.83
홍대 관광특구,관광특구,2026,07,중국,08,3945.75
홍대 관광특구,관광특구,2026,07,중국,09,7399.63
홍대 관광특구,관광특구,2026,07,중국,10,7706.14
홍대 관광특구,관광특구,2026,07,중국,11,9191.28
홍대 관광특구,관광특구,2026,07,중국,12,11065.81
홍대 관광특구,관광특구,2026,07,중국,13,12605.71
홍대 관광특구,관광특구,2026,07,중국,14,13258.28
홍대 관광특구,관광특구,2026,07,중국,15,13371.64
홍대 관광특구,관광특구,2026,07,중국,16,14040.96
홍대 관광특구,관광특구,2026,07,중국,17,15261.27
홍대 관광특구,관광특구,2026,07,중국,18,16664.42
홍대 관광특구,관광특구,2026,07,중국,19,16686.17
홍대 관광특구,관광특구,2026,07,중국,20,15890.21
홍대 관광특구,관광특구,2026,07,중국,21,13556.33
홍대 관광특구,관광특구,2026,07,중국,22,9468.52
홍대 관광특구,관광특구,2026,07,중국,23,4289.9
홍대 관광특구,관광특구,2026,07,태국,01,1227.37
홍대 관광특구,관광특구,2026,07,태국,02,1128.22
홍대 관광특구,관광특구,2026,07,태국,03,718.53
홍대 관광특구,관광특구,2026,07,태국,04,861.62
홍대 관광특구,관광특구,2026,07,태국,05,719.09
홍대 관광특구,관광특구,2026,07,태국,06,504.45
홍대 관광특구,관광특구,2026,07,태국,07,1006.53
홍대 관광특구,관광특구,2026,07,태국,08,1729.87
홍대 관광특구,관광특구,2026,07,태국,09,4117.76
홍대 관광특구,관광특구,2026,07,태국,10,5806.42
홍대 관광특구,관광특구,2026,07,태국,11,8738.86
홍대 관광특구,관광특구,2026,07,태국,12,9770.66
홍대 관광특구,관광특구,2026,07,태국,13,10043.12
홍대 관광특구,관광특구,2026,07,태국,14,9218.59
홍대 관광특구,관광특구,2026,07,태국,15,8647.55
홍대 관광특구,관광특구,2026,07,태국,16,8335.98
홍대 관광특구,관광특구,2026,07,태국,17,10491.86
홍대 관광특구,관광특구,2026,07,태국,18,10913.09
홍대 관광특구,관광특구,2026,07,태국,19,12872.46
홍대 관광특구,관광특구,2026,07,태국,20,13490.6
홍대 관광특구,관광특구,2026,07,태국,21,12899.78
